endTime,artistName,trackName,msPlayed
2023-12-09 22:43,Charlie Puth,I Don’t Think That I Like Her,188507
2023-12-09 22:46,Chris James,29,138281
2023-12-09 22:48,Charlie Puth,Charlie Be Quiet!,128364
2023-12-09 22:53,Olivia Rodrigo,good 4 u,178146
2023-12-09 22:57,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840
2023-12-09 23:00,Rory Webley,Something Super Sweet,172613
2023-12-09 23:03,WILLOW,Wait a Minute!,196520
2023-12-09 23:07,Tiffany Day,IF I DON'T TEXT YOU FIRST,99499
2023-12-09 23:09,david hugo,Die Right Here,127620
2023-12-09 23:12,Koven Wei,LIPSTICK,130120
2023-12-09 23:18,GAYLE,ur just horny,178787
2023-12-09 23:23,Emei,Scatterbrain,129938
2023-12-09 23:27,NIKI,Every Summertime,215686
2023-12-09 23:30,The Gregory Brothers,Boy's a liar Pt. 2 (Biden & Obama's Version),150000
2023-12-09 23:33,Miniature Tigers,Like or Like Like,158653
2023-12-09 23:38,MICO,did too much,55022
2023-12-09 23:48,Falling In Reverse,Bad Girls Club,221730
2023-12-09 23:59,Falling In Reverse,Bad Girls Club,221730
2023-12-10 00:03,Falling In Reverse,Bad Girls Club,221730
2023-12-10 00:08,Falling In Reverse,Bad Girls Club,221730
2023-12-10 00:17,Falling In Reverse,Bad Girls Club,10039
2023-12-10 03:08,Falling In Reverse,Bad Girls Club,8335
2023-12-10 03:11,Charlie Puth,Charlie Be Quiet!,128364
2023-12-10 03:13,MICO,did too much,137000
2023-12-10 03:16,Nicky Youre,Sunroof,163025
2023-12-10 03:19,MICO,cut my hair,176223
2023-12-10 03:22,A-Wall,Solo,157377
2023-12-10 03:24,Tiffany Day,IF I DON'T TEXT YOU FIRST,133547
2023-12-10 03:27,Charlie Puth,I Don’t Think That I Like Her,188507
2023-12-10 03:31,The Millennial Club,summer nights,213205
2023-12-10 03:33,Chris James,29,138281
2023-12-10 03:36,Sabrina Carpenter,Nonsense,163648
2023-12-10 03:37,NIKI,Every Summertime,88948
2023-12-10 03:39,Carly Rae Jepsen,Aeroplanes,112175
2023-12-10 03:39,Carly Rae Jepsen,Shy Boy,278
2023-12-10 03:39,Carly Rae Jepsen,Emotion,1323
2023-12-10 03:43,Carly Rae Jepsen,Shy Boy,209429
2023-12-10 03:43,Carly Rae Jepsen,Emotion,1140
2023-12-10 03:46,Carly Rae Jepsen,LA Hallucinations,184613
2023-12-10 03:46,Carly Rae Jepsen,First Time,3525
2023-12-10 03:48,Carly Rae Jepsen,Surrender My Heart,168653
2023-12-10 03:49,Carly Rae Jepsen,Tiny Little Bows,1629
2023-12-10 03:50,Carly Rae Jepsen,I Really Like You,62972
2023-12-10 03:50,Arrows in Action,This Time,4388
2023-12-10 03:52,LØLØ,u turn me on (but u give me depression),147535
2023-12-10 03:54,Koven Wei,BEFORE,125000
2023-12-10 03:54,Weathers,ALL CAPS (feat. John the Ghost),3222
2023-12-10 03:57,Koven Wei,MIDNIGHT,3209
2023-12-10 03:57,The Band CAMINO,What Am I Missing?,2832
2023-12-10 03:57,MICO,bad note,166771
2023-12-10 04:00,MICO,maybe i'm the problem now,192000
2023-12-10 04:03,Koven Wei,LIPSTICK,130120
2023-12-10 04:03,starfall,tied up,3886
2023-12-10 04:05,Leah Kate,10 Things I Hate About You,157138
2023-12-10 04:08,Waterparks,FUNERAL GREY,164138
2023-12-10 04:10,The Band CAMINO,Told You So,133740
2023-12-10 04:14,Tessa Violet,Crush,216266
2023-12-10 04:18,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),210960
